,Tweet,score
0,__label__NEUTRAL VirginAmerica What dhepburn said,0
1,__label__NEUTRAL VirginAmerica plus youve added commercials to the experience tacky,0
2,__label__NEGATIVE VirginAmerica I didnt today Must mean I need to take another trip,-1
3,__label__POSITIVE VirginAmerica its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,1
4,__label__NEGATIVE VirginAmerica and its a really big bad thing about it,-1
5,"__label__NEGATIVE VirginAmerica seriously would pay  a flight for seats that didnt have this playing
its really the only bad thing about flying VA",-1
6,__label__POSITIVE VirginAmerica yes nearly every time I fly VX this “ear worm” won’t go away ,1
7,__label__POSITIVE VirginAmerica Really missed a prime opportunity for Men Without Hats parody there httpstcomWpGgrEZP,1
8,__label__NEUTRAL virginamerica Well I didnt…but NOW I DO D,0
9,__label__POSITIVE VirginAmerica it was amazing and arrived an hour early Youre too good to me,1
10,__label__NEUTRAL VirginAmerica did you know that suicide is the second leading cause of death among teens ,0
11,__label__POSITIVE VirginAmerica I lt pretty graphics so much better than minimal iconography D,1
12,__label__POSITIVE VirginAmerica This is such a great deal Already thinking about my nd trip to Australia amp I havent even gone on my st trip yet p,1
13,__label__POSITIVE VirginAmerica virginmedia Im flying your fabulous Seductive skies again U take all the stress away from travel httptcoahlXHhKiyn,1
14,__label__POSITIVE VirginAmerica Thanks,1
15,__label__NEUTRAL VirginAmerica SFOPDX schedule is still MIA,0
16,__label__POSITIVE VirginAmerica So excited for my first cross country flight LAX to MCO Ive heard nothing but great things about Virgin America DaysToGo,1
17,__label__POSITIVE VirginAmerica  I flew from NYC to SFO last week and couldnt fully sit in my seat due to two large gentleman on either side of me HELP,1
18,__label__NEUTRAL I redheart flying VirginAmerica smilingfacethumbsup,0
19,__label__POSITIVE VirginAmerica you know what would be amazingly awesome BOSFLL PLEASE I want to fly with only you,1
20,__label__POSITIVE VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select,1
21,__label__POSITIVE VirginAmerica I love this graphic httptcoUTGrRwAaA,1
22,__label__POSITIVE VirginAmerica I love the hipster innovation You are a feel good brand,1
23,__label__NEUTRAL VirginAmerica will you be making BOSgtLAS non stop permanently anytime soon,0
24,__label__POSITIVE VirginAmerica you guys messed up my seating I reserved seating with my friends and you guys gave my seat away  poutingface I want free internet,1
25,__label__NEUTRAL VirginAmerica status match program  I applied and its been three weeks  Called and emailed with no response,0
26,__label__NEGATIVE VirginAmerica What happened  ur vegan food options At least say on ur site so i know I wont be able  eat anything for next  hrs fail,-1
27,__label__POSITIVE VirginAmerica do you miss me Dont worry well be together very soon,1
28,__label__POSITIVE VirginAmerica amazing to me that we cant get any cold air from the vents VX noair worstflightever roasted SFOtoBOS,1
29,__label__NEUTRAL VirginAmerica LAX to EWR  Middle seat on a red eye Such a noob maneuver sendambien andchexmix,0
30,__label__POSITIVE VirginAmerica hi I just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during Flight Booking Problems cryingface,1
31,__label__NEUTRAL VirginAmerica Are the hours of operation for the Club at SFO that are posted online current,0
32,__label__NEGATIVE VirginAmerica help left expensive headphones on flight  IAD to LAX today Seat A No one answering LampF number at LAX,-1
33,__label__NEUTRAL VirginAmerica awaiting my return phone call just would prefer to use your online selfservice option ,0
34,__label__POSITIVE VirginAmerica this is great news  America could start flights to Hawaii by end of year httptcorpZyfe via Pacificbiznews,1
35,__label__POSITIVE Nice RT VirginAmerica Vibe with the moodlight from takeoff to touchdown MoodlitMonday ScienceBehindTheExperience httptcoYOuNxTQP,1
36,__label__POSITIVE VirginAmerica Moodlighting is the only way to fly Best experience EVER Cool and calming purpleheartairplane MoodlitMonday,1
37,__label__POSITIVE VirginAmerica freddieawards Done and done Best airline around hands down,1
38,__label__NEUTRAL VirginAmerica when can I book my flight to Hawaii,0
39,__label__NEUTRAL VirginAmerica Your chat support is not working on your site httptcovhpGtDWPk,0
40,__label__NEUTRAL VirginAmerica View of downtown Los Angeles the Hollywood Sign and beyond that rain in the mountains httptcoDwnfibtr,0
41,__label__POSITIVE VirginAmerica Hey first time flyer next week  excited But Im having a hard time getting my flights added to my Elevate account Help,1
42,__label__POSITIVE VirginAmerica plz help me win my bid upgrade for my flight  LAXgtSEA  wineglassthumbsupseatairplane,1
43,__label__POSITIVE VirginAmerica I have an unused ticket but moved to a new city where you dont fly How can I fly with you before it expires travelhelp,1
44,__label__NEUTRAL VirginAmerica are flights leaving Dallas for Seattle on time Feb ,0
45,__label__POSITIVE VirginAmerica Im elevategold for a good reason you rock,1
46,__label__NEUTRAL VirginAmerica  DREAM httptcooAdRfAoQ httptcolWWdAckHx,0
47,__label__POSITIVE VirginAmerica wow this just blew my mind,1
48,__label__NEUTRAL VirginAmerica ladygaga carrieunderwood After last night tribute SoundOfMusic Oscars ladygaga I think carrieunderwood agree,0
49,__label__POSITIVE VirginAmerica ladygaga carrieunderwood All were entertaining,1
50,__label__POSITIVE VirginAmerica Is flight  on its way Was supposed to take off  minutes ago Website still shows On Time not In Flight Thanks,1
51,__label__POSITIVE VirginAmerica ladygaga carrieunderwood Julie Andrews all the way though ladygaga was very impressive NO to Carrieunderwood,1
52,__label__NEUTRAL VirginAmerica wish you flew out of Atlanta Soon,0
53,__label__NEGATIVE VirginAmerica ladygaga carrieunderwood Julie Andrews Hands down,-1
54,__label__NEUTRAL VirginAmerica Will flights be leaving Dallas for LA on February th,0
55,__label__POSITIVE VirginAmerica hi im so excited about your  LGAgtDAL deal but ive been trying  book since last week amp the page never loads thx,1
56,__label__NEUTRAL VirginAmerica you know it Need it on my spotify stat guiltypleasures,0
57,__label__POSITIVE VirginAmerica ladygaga carrieunderwood  Im Lady Gaga She is amazing smilingfacewithsmilingeyes,1
58,__label__NEUTRAL VirginAmerica ladygaga carrieunderwood  Carrie,0
59,__label__POSITIVE VirginAmerica New marketing song httpstcoFLFULCbQ let us know what you think,1
60,__label__POSITIVE VirginAmerica ladygaga carrieunderwood Julie Andrews first but Lady Gaga wowd me last night Carrie Meh,1
61,__label__NEUTRAL VirginAmerica I called a  weeks ago about adding  flights from  to my Elevatethey still havent shown uphelp,0
62,__label__POSITIVE VirginAmerica ladygaga carrieunderwood all are great  but I have to go with CarrieUnderwood smilingfacewithhearteyesOKhand,1
63,__label__NEGATIVE VirginAmerica LadyGaga CarrieUnderwood Sorry Mary Martin had it first,-1
64,__label__POSITIVE VirginAmerica ladygaga carrieunderwood  love all three but you really cant beat the classics,1
65,__label__NEUTRAL VirginAmerica Flight  DAL to DCA  pm Tried to check in could not Status please,0
66,__label__NEUTRAL VirginAmerica heyy guyys been trying to get through for an hour can someone call me please ,0
67,__label__NEUTRAL VirginAmerica Hi Virgin Im on hold for  minutes  are there any earlier flights from LA to NYC tonight earlier than pm,0
68,__label__POSITIVE VirginAmerica Congrats on winning the Travelzoo award for Best Deals from an Airline US httptcokjiljaebV,1
69,__label__POSITIVE VirginAmerica everything was fine until you lost my bag,1
70,__label__NEUTRAL virginamerica Need to change reservation Have Virgin credit card Do I need to modify on phone to waive change fee Or can I do online,0
71,__label__NEUTRAL VirginAmerica I emailed your customer service team Let me know if you need the tracking number,0
72,__label__NEUTRAL VirginAmerica hi I just booked a flight but need to add baggage how can I do this,0
73,__label__NEUTRAL VirginAmerica your airline is awesome but your lax loft needs to step up its game  for dirty tables and floors httptcohyVrfhjHt,0
74,__label__POSITIVE VirginAmerica not worried its been a great ride in a new plane with great crew All airlines should be like this,1
75,__label__POSITIVE VirginAmerica awesome I flew yall Sat morning Any way we can correct my bill ,1
76,__label__POSITIVE VirginAmerica Or watch some of the best student films in the country at  feet CMFatfeet httptcoKEKpDMGiF,1
77,__label__POSITIVE VirginAmerica first time flying you all do you have a different ratepolicy for media Bags Thanks,1
78,__label__NEUTRAL VirginAmerica what is going on with customer service Is there anyway to speak to a human asap Thank you,0
79,__label__NEUTRAL VirginAmerica what happened to Doom,0
80,__label__NEUTRAL VirginAmerica why cant you supp the biz traveler like SouthwestAir  and have customer service like JetBlue neverflyvirginforbusiness,0
81,__label__POSITIVE VirginAmerica Ive applied more then once to be a member of the inflight crew teamIm  interested flightattendant dreampath G,1
82,__label__POSITIVE VirginAmerica youre the best Whenever I begrudgingly use any other airline Im delayed and Late Flight ,1
83,__label__NEGATIVE VirginAmerica I have no interesting flying with you after this I will Cancelled Flight my next four flights I plannedneverflyvirginforbusiness,-1
84,__label__NEGATIVE VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet neverflyvirgin,-1
85,__label__NEGATIVE VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account Help httptcopXhQOKSR,-1
86,__label__NEUTRAL VirginAmerica Cant bring up my reservation online using Flight Booking Problems code,0
87,__label__NEGATIVE VirginAmerica Random Q whats the distribution of elevate avatars I bet that kitty has a disproportionate share httptcoAPtZpuROp,-1
88,__label__NEUTRAL VirginAmerica I lt Flying VA But Life happens and I am trying to change my trip JPERHI  Can you helpVA home page will not let me ,0
89,__label__NEGATIVE VirginAmerica Why is the site down  When will it be back up,-1
90,__label__NEGATIVE VirginAmerica You down with RNP Yeah you know me,-1
91,__label__POSITIVE VirginAmerica hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account,1
92,__label__NEGATIVE VirginAmerica I like the TV and interesting video  Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday ,-1
93,__label__POSITIVE VirginAmerica just landed in LAX an hour after I should of been here Your no Late Flight bag check is not business travel friendly nomorevirgin,1
94,__label__NEUTRAL VirginAmerica why is flight  redirected,0
95,__label__POSITIVE VirginAmerica Is it me or is your website down  BTW your new website isnt a great user experience  Time for another redesign,1
