,Label
72,__label__NEGATIVE UNSW clementineford monaeltahawy UNSWCentreIdeas Radical islam is much more dangerous than patriarchy Facts vs facts
2,__label__NEUTRAL The University of Sydneys Westmead Applied Research Centre has been awarded a  million grant from Google to … httpstcoixuDQUs
22,__label__NEUTRAL In its last concert for  the UNSW Orchestra presents a program which includes Sibeliuss Finlandia Mozarts… httpstcoBVgnJsnv
52,__label__NEUTRAL MQU Open Day   httpstcoNzXCRWWYdv
84,__label__POSITIVE The University of Sydney is Australias largest university and one of the most popular universities for overseas st… httpstcoTLOVuQxh
42,__label__NEUTRAL Join the screening of Our Youth in Taiwan on  November at Macquarie University This documentary the winner of t… httpstcouvbCqtf
19,__label__NEUTRAL Tour the Faculty of Science and Engineering for Macquarie University  by NBRS ARCHITECTURE httpstcoLBTEiCNz
76,__label__NEUTRAL Wars drug wars corporate theft of investor and tax money murder genocide rape political lies graft and corru… httpstcoVoczGrnD
63,__label__POSITIVE UNSW clementineford monaeltahawy UNSWCentreIdeas Surprised so surprised Did David Gilmour sign the echo chamber you yell into
48,__label__NEGATIVE Policing the Berlin Wall the ghostly photos taken by the Stasis hidden cameras   Donna West Brett University of… httpstcoKlrEQ
48,__label__NEUTRAL EricHolthaus Credit should go to Lesley Hughes from Macquarie University this was from her lecture
7,__label__NEUTRAL ketaminecoffee lucysunman Carriageworks UNSW unswideas
74,"__label__POSITIVE UNSW clementineford monaeltahawy UNSWCentreIdeas Its more like rd
st is Nazis
nd is communism Marxism"
53,"__label__NEUTRAL History of Sexuality seminar 
 November pm
Dreyfus Room  Russell Square Birkbeck University of London W… httpstcozCfXCgNi"
88,__label__NEGATIVE UNSWMedicine joewilliamstew UNSW smh What does it mean to be Aboriginal It means to be looked down upon As w… httpstcoIuHcfDROz
49,__label__NEGATIVE Macquarie university recently announced budget cuts due to zero growth in enrolments andrewjnorton explains dom… httpstcooAmXXPVXPC
43,__label__NEGATIVE Eww One old woman with fake glaring hair that looks like a clown is missing a wig Edna has not aged well httpstcoyXShVjdxh
62,__label__NEUTRAL This years Western Sydney University Catalyst West event has over  people reimagining the future of Western Syd… httpstcowRIEfVhSg
16,__label__NEUTRAL STARTTS School Liaison Team Leader Shaun Nemorin spoke with the ABC’s lynnemalcolm about his recent trip to Kutup… httpstcoFoiOhtChD
78,__label__NEUTRAL The study which is published in the journal BioScience by researchers from the University of Sydney Oregon State… httpstcoOzuJGvOJL
18,__label__POSITIVE Please sign and share this important petition httpstcoUJrQvUoju via MegaphoneAU
77,__label__POSITIVE Recently returned from a cybersecurity startup tour of India thanks to The Optus Macquarie University Cyber Securi… httpstcoLKXOAhfWb
96,__label__NEGATIVE Despite heavy investment in startups the University of Sydney Business School has found the uptake of tech is lack… httpstcozjCtuAACsy
28,__label__NEUTRAL Classes done for the semester and hopefully for this degree crossedfingersmediumskintone  The University of Sydney httpstcooPkrYdmv
67,__label__NEUTRAL  questions with Karen Marais  from DowningHerbariumm  This Week At Macquarie University httpstcoDrxJUDvW
90,__label__POSITIVE UNSWMedicine joewilliamstew UNSW smh Thats a great quote I had to read it twice to realise what it means
79,"__label__NEGATIVE “The game is rigged And I don’t want to play the game anymore”

monaeltahawy speaking at Unthinkable UNSWideas httpstcozBInpOkWC"
79,"__label__POSITIVE Sydney Australia  Seminar Australia

Date Tuesday November 
Time  PM
Location New Law Seminar Room  Univ… httpstcoBJGXFNjNdj"
77,"__label__NEUTRAL Please join us Wednesday Nov th to help celebrate the college signings of the following soccer players
Ashlyn… httpstcoiJoNpwvP"
85,__label__NEUTRAL There is an open book in the middle of the cross that symbolizes Oxford University The University of Sydney was fo… httpstcofBAKzJiIy
97,__label__NEGATIVE New data shows some of the biggest issues confronting parents these days all seem to have one common element smart… httpstcogBEhvYJbF
25,__label__NEUTRAL What an honour to have attended the ceremony for Sir Greg Winters honorary doctorate from the University of Sydney… httpstcotbVvMuIt
64,__label__NEUTRAL Lecturer  Senior Lecturer Physiotherapy  The University of Sydney  Sydney Australia httpstcoZGjdjDGFt
65,__label__POSITIVE Researchers at University of Sydney are interested in hearing from clinicians about their views and experiences of… httpstcoLULortF
61,__label__NEUTRAL At the next community forum on Mon  November Dr Ed Annand Equine Vet from the University of Sydney will give pre… httpstcotVJpsDxEA
19,__label__POSITIVE Hi welcome to the University of Sydney We will start a new semester next February are you excited for the upcomi… httpstcobxrcsFxLT
91,"__label__POSITIVE Over  scientists declare climate emergency and call for urgent action

More than  scientists around the… httpstcoFwiWNqBi"
18,__label__NEUTRAL Congrats UNSWLaw clappinghandsclappinghands httpstcouamjLfrjn
40,__label__POSITIVE  years of psychology done My last day was today The learning never stops though I’m ready for my next journey… httpstcoHEGrKgRf
57,__label__POSITIVE UNSW rezaaslan UNSWCentreIdeas bairdjulia Carriageworks Great talk tonight unswideas
35,__label__NEUTRAL Support your colleagues and sign the petition here httpstcoDmvlFwOr
31,__label__POSITIVE After  years of research the University of New South Wales has found three hotspots for socalled pure dingoes… httpstcokTLVSZCAJ
21,"__label__NEUTRAL How to get to the Arcadian venue Via UNSW Gate 
httpstcopIHaRKwY"
30,__label__POSITIVE UNSW rezaaslan UNSWCentreIdeas bairdjulia There are and have been many cultures without religion Individual an… httpstcolbuYpiUu
75,__label__POSITIVE TRIVIA What year did the University of Sydney host the first Australia womens baseball national championships… httpstcoBwooaZl
5,__label__POSITIVE It’s pretty cool when the Chancellor of Sydney University says “she knows about all the great work I’ve done”… httpstcoQxehDofP
25,__label__NEUTRAL Thoughtprovoking talk from rezaaslan UNSWCentreIdeas UNSW last night spanning biological anthropology cogniti… httpstcooIXUmmBPs
98,__label__NEUTRAL Do you plan to study in AustraliaCome and meet with Macquarie Universitys Team on our Open Day in Surabaya on Nov… httpstcoDBEyAufr
70,__label__NEUTRAL MadCityJess monaeltahawy UNSW UNSW  since the abc are launching an investigation you might want to reconsider y… httpstcohoJWhn
29,__label__POSITIVE Thanks for the opportunity at the guo pitchfest finals macquarieuniversity incubator STARStv… httpstcoYraldmLItC
54,__label__POSITIVE When I wanted to learn coaching it was important for me to get the best training possible It took three and a half… httpstcoXFetIRUcQC
57,__label__NEUTRAL ATMC is in association with FederationUniversity provides Bachelors’ degree and Masters’ degree in the field of I… httpstcohKIgCsDV
74,__label__POSITIVE University of Western Sydney science student Says it all really doesnt it Why are taxpayers funding student pl… httpstcoVGqnUyT
92,__label__POSITIVE gt scientists call on global leaders to take action in the midst of a ClimateEmergency They say a warmer plan… httpstcoKIYTyeKur
58,"__label__POSITIVE Thank you Dallas great shot 

Thank you Sydney University School of Architecture amp Design SydneyADPRes for inv… httpstcoFBBNEEn"
34,__label__NEGATIVE UNSW rezaaslan monaeltahawy UNSWCentreIdeas Carriageworks Oh Reza Aslan and the crazy lady that believes civil… httpstcoFFzesFLOVJ
39,__label__POSITIVE Attending CEPET in Macquarie University MGSM Getting ready for my talk Introduction to Human Robot Interacti… httpstcosPfiWzrlj
93,"__label__NEUTRAL pasisahlberg The Importance of Play for children i Schools
 httpstcoAlCsPqwf
skolenispil skolechat dannelse"
26,__label__NEUTRAL Australia Mobilise students staff and academics against the closure of Macquarie University’s human sciences facu… httpstcoZBcqjgGE
92,__label__NEGATIVE barrybender UNSW monaeltahawy UNSWCentreIdeas Carriageworks As a human being I’m disgusted by you random white guy
95,"__label__NEUTRAL ICYMI MacquarieUni split their opening two games of the FISU University x World Cup last night UniHoops rightarrowcurvingdown

httpstcohixuSiEz"
